Оператор;Форма;Дата Форма получена;Ответ;Дата Ответ получен с ftp;Дата Ответ передан клиенту
ftp;Form5_7400000008002101_96480_099f9ec1-6fd6-46ae-84f3-97d5f20e910d.xml;19.08.2024 22:54:52:;response_FORM5_7400000008002101_96480_099F9EC1-6FD6-46AE-84F3-97D5F20E910D.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002201_6751_81960ed3-3978-4bc4-9529-15eb092b190b.xml;19.08.2024 22:54:52:;response_FORM5_7400000008002201_6751_81960ED3-3978-4BC4-9529-15EB092B190B.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002261_24648_49817ed0-94ad-441a-8579-6ecc96ee1619.xml;19.08.2024 22:54:52:;response_FORM5_7400000008002261_24648_49817ED0-94AD-441A-8579-6ECC96EE1619.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002281_21175_88891644-e333-4f51-96dd-490390656f04.xml;19.08.2024 22:54:52:;response_FORM5_7400000008002281_21175_88891644-E333-4F51-96DD-490390656F04.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008005722_21690_885e414a-24c1-4a06-a10b-8a62a75fd14d.xml;19.08.2024 22:54:52:;response_FORM5_7400000008005722_21690_885E414A-24C1-4A06-A10B-8A62A75FD14D.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002101_96480_099f9ec1-6fd6-46ae-84f3-97d5f20e910d.xml;19.08.2024 23:00:12:;response_FORM5_7400000008002101_96480_099F9EC1-6FD6-46AE-84F3-97D5F20E910D.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002201_6751_81960ed3-3978-4bc4-9529-15eb092b190b.xml;19.08.2024 23:00:12:;response_FORM5_7400000008002201_6751_81960ED3-3978-4BC4-9529-15EB092B190B.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002261_24648_49817ed0-94ad-441a-8579-6ecc96ee1619.xml;19.08.2024 23:00:12:;response_FORM5_7400000008002261_24648_49817ED0-94AD-441A-8579-6ECC96EE1619.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002281_21175_88891644-e333-4f51-96dd-490390656f04.xml;19.08.2024 23:00:12:;response_FORM5_7400000008002281_21175_88891644-E333-4F51-96DD-490390656F04.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008005722_21690_885e414a-24c1-4a06-a10b-8a62a75fd14d.xml;19.08.2024 23:00:12:;response_FORM5_7400000008005722_21690_885E414A-24C1-4A06-A10B-8A62A75FD14D.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002101_96480_099f9ec1-6fd6-46ae-84f3-97d5f20e910d.xml;19.08.2024 23:01:25:;response_FORM5_7400000008002101_96480_099F9EC1-6FD6-46AE-84F3-97D5F20E910D.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002201_6751_81960ed3-3978-4bc4-9529-15eb092b190b.xml;19.08.2024 23:01:25:;response_FORM5_7400000008002201_6751_81960ED3-3978-4BC4-9529-15EB092B190B.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002261_24648_49817ed0-94ad-441a-8579-6ecc96ee1619.xml;19.08.2024 23:01:25:;response_FORM5_7400000008002261_24648_49817ED0-94AD-441A-8579-6ECC96EE1619.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008002281_21175_88891644-e333-4f51-96dd-490390656f04.xml;19.08.2024 23:01:25:;response_FORM5_7400000008002281_21175_88891644-E333-4F51-96DD-490390656F04.XML;19.08.2024 23:01:25:;
ftp;Form5_7400000008005722_21690_885e414a-24c1-4a06-a10b-8a62a75fd14d.xml;19.08.2024 23:01:25:;response_FORM5_7400000008005722_21690_885E414A-24C1-4A06-A10B-8A62A75FD14D.XML;19.08.2024 23:01:25:;
